Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/login/,100,0,310,310.3500470594736,145.09433301282115,390.07074999972247,457.0,0.1667146090782327,0.0,320,320,330,330,380,390,390,390,390,390,390
POST,/v1/auth/refresh/,3408,0,3,3.3732527305839772,0.7976249908097088,149.07070898334496,184.0,5.681633877386171,0.0,3,3,4,4,5,7,9,16,60,150,150
GET,/v1/users,9937,0,5,6.132868799438644,1.408375013852492,343.028208008036,157.0,16.566430704103986,0.0,5,6,6,7,9,11,18,33,230,340,340
GET,/v1/users/me,26216,0,5,6.161196926761536,1.3398329901974648,362.4261250079144,148.0,43.70590191594949,0.0,5,6,6,7,9,11,20,34,210,290,360
,Aggregated,39661,0,4,6.681508431551897,0.7976249908097088,390.07074999972247,154.12745518267315,66.12068110651788,0.0,4,5,6,7,9,11,21,37,320,390,390
