Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/users/signup,100,0,310,320.07277209107997,287.93958300957456,421.495499991579,228.02,10.6915964865892,0.0,310,320,320,340,410,420,420,420,420,420,420
,Aggregated,100,0,310,320.07277209107997,287.93958300957456,421.495499991579,228.02,10.6915964865892,0.0,310,320,320,340,410,420,420,420,420,420,420
