Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/login/,100,0,270,268.9777895301813,116.65404101950116,325.2998749958351,466.0,0.16675692609102094,0.0,270,280,290,300,320,320,320,330,330,330,330
POST,/v1/auth/logout/,6575,0,3,3.376411656940271,0.7823749911040068,111.23691700049676,51.0,10.964267890484626,0.0,3,3,4,4,5,6,9,20,37,110,110
PATCH,/v1/users/{user_id}/role,32920,0,7,7.772177196803256,2.1704999962821603,304.19254198204726,72.0,54.89638006916409,0.0,7,8,9,10,11,14,18,30,160,260,300
,Aggregated,39595,0,6,7.701925973384609,0.7823749911040068,325.2998749958351,69.50789241065792,66.02740488573974,0.0,6,7,8,9,11,13,19,32,280,320,330
