Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/login/,100,0,300,307.97081788041396,215.21925000706688,372.584041004302,463.02,0.16679237449007872,0.0,300,310,320,320,370,370,370,370,370,370,370
PATCH,/v1/users/me,39493,0,7,8.22483236880477,2.28358298772946,367.03379201935604,152.5031018155116,65.87131245736678,0.0,7,8,9,9,12,14,23,37,200,310,370
,Aggregated,39593,0,7,8.981900500827122,2.28358298772946,372.584041004302,153.287374030763,66.03810483185687,0.0,7,8,9,9,12,14,25,41,310,370,370
